run_index,start_time,end_time,total_sec,sec_per_epoch_avg,samples_per_sec,sec_per_1000_samples,epochs,tta_sec,target_mae,train_size
1,2025-10-30T15:48:29.314525,2025-10-30T15:48:31.534057,2.2177239,0.22163726,17076.06614161,0.0585615,10,0.162851,30000000,3787
2,2025-10-30T15:48:31.538198,2025-10-30T15:48:34.382097,2.8428892,0.28412078,13320.95531535,0.07506969,10,0.2762442,30000000,3787
3,2025-10-30T15:48:34.387798,2025-10-30T15:48:37.055723,2.6683153,0.26666618,14192.47567921,0.07045987,10,0.1992844,30000000,3787
avg,-,-,2.57630947,0.25747474,14863.16571206,0.06803035,10,0.2127932,30000000,3787
