label,status,hit,latency_ms,expected_id,source,top5_ids,top5_names,used_payload_json
서울 중구 필동로 3 34 200000만원,200,1,56.6,3083,hit,"[3086, 3083, 3080, 3079, 2923]","['ㄱ', 'ㅋ', 'ㅈ', 'ㅋ', '오테로']","{""totalAmount"": 200000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [34], ""address"": {""sidoName"": ""서울"", ""gunName"": ""중구"", ""dongName"": ""필동로""}, ""exclusiveArea"": ""ANY"", ""option"": [""PARKING""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 1}"
서울 은평구 은평로 111 42 40000000만원,200,1,58.5,411,hit,"[407, 410, 411, 412]","['마이고기', '마이고기', '마이고기', '마이고기']","{""totalAmount"": 40000000, ""monthlyAvgSales"": ""RANGE_30M_50M"", ""mainCategoryId"": [], ""subCategoryId"": [42], ""address"": {""sidoName"": ""서울"", ""gunName"": ""은평구"", ""dongName"": ""은평로""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
경북 김천시 신양4길 57 42 100000000만원,200,1,51.3,2202,hit,[2202],['갓갈비'],"{""totalAmount"": 100000000, ""monthlyAvgSales"": ""RANGE_20M_30M"", ""mainCategoryId"": [], ""subCategoryId"": [42], ""address"": {""sidoName"": ""경북"", ""gunName"": ""김천시"", ""dongName"": ""신양4길""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
경기 김포시 초당로61번길 36 63 25000000만원,200,1,66.1,814,hit,"[1193, 913, 814, 1805, 2206]","['파이팅카페', '강정은 쏘스빨', '샌드피아', '데일리문스', '스텔러디']","{""totalAmount"": 25000000, ""monthlyAvgSales"": ""RANGE_10M_20M"", ""mainCategoryId"": [], ""subCategoryId"": [63], ""address"": {""sidoName"": ""경기"", ""gunName"": ""김포시"", ""dongName"": ""초당로61번길""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
경기 의정부시 가능로49번길 9 37 90000000만원,200,1,52.5,1371,hit,"[1371, 2748, 163]","['비에이치씨(BHC)', '파스타입니다', '한솥']","{""totalAmount"": 90000000, ""monthlyAvgSales"": ""RANGE_30M_50M"", ""mainCategoryId"": [], ""subCategoryId"": [37], ""address"": {""sidoName"": ""경기"", ""gunName"": ""의정부시"", ""dongName"": ""가능로49번길""}, ""exclusiveArea"": ""ANY"", ""option"": [""OPERATION_PERIOD""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 4}"
경기 안양시 동안구 관양동 1460-11 37 55000000만원,200,1,68.0,334,hit,"[1133, 974, 680, 1847, 334]","['피자스톰', '핵밥', '피자스톰', '비에이치씨(BHC)', '네네치킨']","{""totalAmount"": 55000000, ""monthlyAvgSales"": ""RANGE_30M_50M"", ""mainCategoryId"": [], ""subCategoryId"": [37], ""address"": {""sidoName"": ""경기"", ""gunName"": ""안양시"", ""dongName"": ""동안구""}, ""exclusiveArea"": ""ANY"", ""option"": [""OPERATION_PERIOD"", ""PARKING""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 4}"
강원특별자치도 횡성군 갑천면 갑천로 9-22 30 600000만원,200,0,49.4,3181,nonhit,[],[],"{""totalAmount"": 600000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [30], ""address"": {""sidoName"": ""강원특별자치도"", ""gunName"": ""횡성군"", ""dongName"": ""갑천면""}, ""exclusiveArea"": ""OVER_20"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
부산 부산진구 전포대로209번길 57 70000000만원,200,1,51.6,1201,hit,"[127, 1201]","['마이코치짐 ', '온나(ONNA)드로잉카페']","{""totalAmount"": 70000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [57], ""address"": {""sidoName"": ""부산"", ""gunName"": ""부산진구"", ""dongName"": ""전포대로209번길""}, ""exclusiveArea"": ""OVER_30"", ""option"": [""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
강원 춘천시 온의동 31 50000000만원,200,1,70.6,1301,hit,"[1198, 1301, 595, 1195]","['베베샤워', '디제이디앤씨(주)', '다워크 공유오피스', '베베샤워']","{""totalAmount"": 50000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [31], ""address"": {""sidoName"": ""강원"", ""gunName"": ""춘천시"", ""dongName"": ""온의동""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""AUTO_OPERATE"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 노원구 상계동 434-61 14 25000000만원,200,1,48.9,965,hit,"[1258, 965]","['떡군이네떡볶이', '떡군이네떡볶이']","{""totalAmount"": 25000000, ""monthlyAvgSales"": ""RANGE_10M_20M"", ""mainCategoryId"": [], ""subCategoryId"": [14], ""address"": {""sidoName"": ""서울"", ""gunName"": ""노원구"", ""dongName"": ""상계동""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
